#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0202701	FBti0202701	CadN2	TI{CRIMIC.TG4.1}	-1	-	81201 y[1] w[*]; TI{CRIMIC.TG4.1}CadN2[CR01165-TG4.1]/SM6a	TI{CRIMIC.TG4.1}CadN2[CR01165-TG4.1]
FBti0202702	FBti0202702	bowl	TI{CRIMIC.TG4.2}	1	-	81202 y[1] w[*]; TI{CRIMIC.TG4.2}bowl[CR01166-TG4.2]/SM6a	TI{CRIMIC.TG4.2}bowl[CR01166-TG4.2]
FBti0202703	FBti0202703	ft	TI{CRIMIC.TG4.0}	-1	-	81203 y[1] w[*]; TI{CRIMIC.TG4.0}ft[CR01169-TG4.0]/SM6a	TI{CRIMIC.TG4.0}ft[CR01169-TG4.0]
FBti0202704	FBti0202704	dx	TI{CRIMIC.TG4.0}	1	-	81204 y[1] w[*] TI{CRIMIC.TG4.0}dx[CR01170-TG4.0]/FM7h	TI{CRIMIC.TG4.0}dx[CR01170-TG4.0]
FBti0202705	FBti0202705	Spn42De	TI{CRIMIC.TG4.0}	1	-	81205 y[1] w[*]; TI{CRIMIC.TG4.0}Spn42De[CR01171-TG4.0]	TI{CRIMIC.TG4.0}Spn42De[CR01171-TG4.0]
FBti0202706	FBti0202706	Cse1 <newline> mdy	TI{CRIMIC.TG4.0}	1	-	81206 y[1] w[*]; TI{CRIMIC.TG4.0}mdy[CR01172-TG4.0] Cse1[CR01172-TG4.0-X]/SM6a	TI{CRIMIC.TG4.0}mdy[CR01172-TG4.0]
FBti0202707	FBti0202707	Stoml2 <newline> fzr2	TI{CRIMIC.TG4.0}	1	-	81207 y[1] w[*]; TI{CRIMIC.TG4.0}Stoml2[CR01173-TG4.0] fzr2[CR01173-TG4.0-X]/SM6a	TI{CRIMIC.TG4.0}Stoml2[CR01173-TG4.0]
FBti0202708	FBti0202708	CG10257	TI{CRIMIC.TG4.0}	1	-	81208 y[1] w[*]; TI{CRIMIC.TG4.0}CG10257[CR01174-TG4.0]	TI{CRIMIC.TG4.0}CG10257[CR01174-TG4.0]
FBti0202709	FBti0202709	Sec8	TI{CRIMIC.TG4.0}	-1	-	81209 y[1] w[*]; TI{CRIMIC.TG4.0}Sec8[CR01176-TG4.0]/TM3, Sb[1] Ser[1]	TI{CRIMIC.TG4.0}Sec8[CR01176-TG4.0]
FBti0202710	FBti0202710	cutlet	TI{CRIMIC.TG4.0}	-1	-	81210 y[1] w[*]; TI{CRIMIC.TG4.0}cutlet[CR01178-TG4.0]/SM6a	TI{CRIMIC.TG4.0}cutlet[CR01178-TG4.0]
FBti0202711	FBti0202711	CG17593	TI{CRIMIC.TG4.0}	1	-	81211 y[1] w[*]; TI{CRIMIC.TG4.0}CG17593[CR01182-TG4.0]/SM6a	TI{CRIMIC.TG4.0}CG17593[CR01182-TG4.0]
FBti0202712	FBti0202712	Ir25a	TI{CRIMIC.TG4.0}	-1	-	81212 y[1] w[*]; TI{CRIMIC.TG4.0}Ir25a[CR01184-TG4.0]	TI{CRIMIC.TG4.0}Ir25a[CR01184-TG4.0]
FBti0202713	FBti0202713	sl	TI{CRIMIC.TG4.0}	1	-	81213 y[1] w[*] TI{CRIMIC.TG4.0}sl[CR01192-TG4.0]	TI{CRIMIC.TG4.0}sl[CR01192-TG4.0]
FBti0202714	FBti0202714	CG14968	TI{CRIMIC.TG4.0}	-1	-	81214 y[1] w[*]; TI{CRIMIC.TG4.0}CG14968[CR01198-TG4.0]/TM3, Sb[1] Ser[1]	TI{CRIMIC.TG4.0}CG14968[CR01198-TG4.0]
FBti0202715	FBti0202715	CG31712 <newline> asRNA:CR45007	TI{CRIMIC.TG4.0}	-1	-	81215 y[1] w[*]; TI{CRIMIC.TG4.0}CG31712[CR01304-TG4.0] asRNA:CR45007[CR01304-TG4.0-X]/SM6a	TI{CRIMIC.TG4.0}CG31712[CR01304-TG4.0]
FBti0202716	FBti0202716	Tsp42Ef	TI{CRIMIC.TG4.0}	1	-	81216 y[1] w[*]; TI{CRIMIC.TG4.0}Tsp42Ef[CR01305-TG4.0]/SM6a	TI{CRIMIC.TG4.0}Tsp42Ef[CR01305-TG4.0]
FBti0202717	FBti0202717	Jhe	TI{CRIMIC.TG4.0}	1	-	81162 y[1] w[*]; TI{CRIMIC.TG4.0}Jhe[CR01052-TG4.0]/SM6a	TI{CRIMIC.TG4.0}Jhe[CR01052-TG4.0]
FBti0206842	FBti0206842	CG6115	TI{CRIMIC.TG4.0}	-1	-	83190 y[1] w[*]; TI{CRIMIC.TG4.0}CG6115[CR00751-TG4.0]/SM6a	TI{CRIMIC.TG4.0}CG6115[CR00751-TG4.0]
FBti0206843	FBti0206843	Inos	TI{CRIMIC.TG4.0}	-1	-	83197 y[1] w[*]; TI{CRIMIC.TG4.0}Inos[CR00890-TG4.0]/SM6a	TI{CRIMIC.TG4.0}Inos[CR00890-TG4.0]
FBti0206844	FBti0206844	CG13197	TI{CRIMIC.TG4.0}	1	-	83198 y[1] w[*]; TI{CRIMIC.TG4.0}CG13197[CR00900-TG4.0]/SM6a	TI{CRIMIC.TG4.0}CG13197[CR00900-TG4.0]
FBti0206845	FBti0206845	Nha1	TI{CRIMIC.TG4.0}	-1	-	83199 y[1] w[*]; TI{CRIMIC.TG4.0}Nha1[CR00901-TG4.0]	TI{CRIMIC.TG4.0}Nha1[CR00901-TG4.0]
FBti0206846	FBti0206846	Dhx15	TI{CRIMIC.TG4.1}	1	-	83200 y[1] w[*]; TI{CRIMIC.TG4.1}Dhx15[CR00917-TG4.1]	TI{CRIMIC.TG4.1}Dhx15[CR00917-TG4.1]
FBti0206847	FBti0206847	Pld	TI{CRIMIC.TG4.2}	1	-	83201 y[1] w[*]; TI{CRIMIC.TG4.2}Pld[CR00926-TG4.2]/SM6a	TI{CRIMIC.TG4.2}Pld[CR00926-TG4.2]
FBti0206848	FBti0206848	Asap	TI{CRIMIC.TG4.0}	-1	-	83202 y[1] w[*]; TI{CRIMIC.TG4.0}Asap[CR00941-TG4.0]/SM6a	TI{CRIMIC.TG4.0}Asap[CR00941-TG4.0]
FBti0206849	FBti0206849	CG13124	TI{CRIMIC.TG4.1}	-1	-	83204 y[1] w[*]; TI{CRIMIC.TG4.1}CG13124[CR00943-TG4.1]/SM6a	TI{CRIMIC.TG4.1}CG13124[CR00943-TG4.1]
FBti0206850	FBti0206850	CG5708	TI{CRIMIC.TG4.2}	-1	-	83205 y[1] w[*]; TI{CRIMIC.TG4.2}CG5708[CR00944-TG4.2]/SM6a	TI{CRIMIC.TG4.2}CG5708[CR00944-TG4.2]
FBti0206852	FBti0206852	TppII	TI{CRIMIC.TG4.2}	-1	-	-	TI{CRIMIC.TG4.2}TppII[CR00948-TG4.2]
FBti0206853	FBti0206853	CG3511	TI{CRIMIC.TG4.1}	1	-	83211 y[1] w[*]; TI{CRIMIC.TG4.1}CG3511[CR00952-TG4.1]	TI{CRIMIC.TG4.1}CG3511[CR00952-TG4.1]
FBti0206854	FBti0206854	Naus	TI{CRIMIC.TG4.1}	1	-	83214 y[1] w[*]; TI{CRIMIC.TG4.1}Naus[CR00957-TG4.1]/SM6a	TI{CRIMIC.TG4.1}Naus[CR00957-TG4.1]
FBti0206855	FBti0206855	NAT1	TI{CRIMIC.TG4.2}	1	-	83215 y[1] w[*]; TI{CRIMIC.TG4.2}NAT1[CR00958-TG4.2]/SM6a	TI{CRIMIC.TG4.2}NAT1[CR00958-TG4.2]
FBti0206856	FBti0206856	CG18659	TI{CRIMIC.TG4.2}	-1	-	83216 y[1] w[*]; TI{CRIMIC.TG4.2}CG18659[CR00959-TG4.2]/SM6a	TI{CRIMIC.TG4.2}CG18659[CR00959-TG4.2]
FBti0206858	FBti0206858	wbl	TI{CRIMIC.TG4.0}	1	-	83218 y[1] w[*]; TI{CRIMIC.TG4.0}wbl[CR00961-TG4.0]	TI{CRIMIC.TG4.0}wbl[CR00961-TG4.0]
FBti0206859	FBti0206859	tn	TI{CRIMIC.TG4.1}	1	-	83219 y[1] w[*]; TI{CRIMIC.TG4.1}tn[CR00964-TG4.1]	TI{CRIMIC.TG4.1}tn[CR00964-TG4.1]
FBti0206860	FBti0206860	CG3558	TI{CRIMIC.TG4.1}	1	-	83220 y[1] w[*]; TI{CRIMIC.TG4.1}CG3558[CR00966-TG4.1]	TI{CRIMIC.TG4.1}CG3558[CR00966-TG4.1]
FBti0206861	FBti0206861	Atg4a	TI{CRIMIC.TG4.1}	1	-	83221 y[1] w[*]; TI{CRIMIC.TG4.1}Atg4a[CR00969-TG4.1]/SM6a	TI{CRIMIC.TG4.1}Atg4a[CR00969-TG4.1]
FBti0206862	FBti0206862	CG15356	TI{CRIMIC.TG4.1}	-1	-	83222 y[1] w[*]; TI{CRIMIC.TG4.1}CG15356[CR00970-TG4.1]/SM6a	TI{CRIMIC.TG4.1}CG15356[CR00970-TG4.1]
FBti0206865	FBti0206865	homer	TI{CRIMIC.TG4.2}	-1	-	83226 y[1] w[*]; TI{CRIMIC.TG4.2}homer[CR00974-TG4.2]/SM6a	TI{CRIMIC.TG4.2}homer[CR00974-TG4.2]
FBti0206866	FBti0206866	Spindly	TI{CRIMIC.TG4.2}	-1	-	83228 y[1] w[*]; TI{CRIMIC.TG4.2}Spindly[CR00976-TG4.2]/SM6a	TI{CRIMIC.TG4.2}Spindly[CR00976-TG4.2]
FBti0206867	FBti0206867	smog	TI{CRIMIC.TG4.0}	1	-	83229 y[1] w[*]; TI{CRIMIC.TG4.0}smog[CR00977-TG4.0]	TI{CRIMIC.TG4.0}smog[CR00977-TG4.0]
FBti0206868	FBti0206868	CG30423	TI{CRIMIC.TG4.1}	-1	-	83230 y[1] w[*]; TI{CRIMIC.TG4.1}CG30423[CR00978-TG4.1]/SM6a	TI{CRIMIC.TG4.1}CG30423[CR00978-TG4.1]
